være;Jeg er glad.;to be;I am happy.;
samme;Vi går på samme skole.;same;We go to the same school.;
sist;Han kom sist i går.;last;He came last yesterday.;
hvordan;Hvordan går det med deg?;how;How is it going with you?;
uten;Jeg drikker kaffe uten sukker.;without;I drink coffee without sugar.;
holde;Hun holder en bok i hånden.;hold;She holds a book in her hand.;
dere;Hva gjør dere i dag?;you (plural);What are you doing today?;It means: "What are you (guys) doing today?". You say it to a group of people.
et land;Norge er et vakkert land.;country;Norway is a beautiful country.;
kanskje;Han kommer kanskje i dag.;maybe;He is maybe coming today.;
frem;Gå rett frem til døren.;forward;Walk straight forward to the door.;
sende;Jeg sender et brev nå.;send;I am sending a letter now.;
vel;Du er vel trøtt nå?;probably;You are probably tired now?;
et folk;Et folk bor i dette landet.;people;People live in this country.;
veldig;Det er veldig kaldt ute.;very;It is very cold outside.;
ned;Vi går ned trappen.;down;We are walking down the stairs.;
sammen;Vi spiser middag sammen.;together;We eat dinner together.;
tidlig;Jeg våkner tidlig hver dag.;early;I wake up early every day.;
ligge;Boken ligger på bordet.;lie;The book lies on the table.;
enkel;Oppgaven er veldig enkel.;simple;The task is very simple.;
bra;Alt går bra med oss.;good;Everything is going well with us.;
gjennom;Vi går gjennom skogen.;through;We walk through the forest.;
rundt;De løper rundt vannet.;around;They run around the water.;
ei and;Ei and svømmer i vannet.;duck;A duck swims in the water.;
spille;Barna spiller fotball nå.;play;The children are playing football now.;
høy;Fjellet er veldig høyt.;high;The mountain is very high.;
ei side;Han leser en ny side.;page;He reads a new page.;
gammel;Min bestefar er gammel.;old;My grandfather is old.;
tenke;Jeg tenker på deg.;think;I am thinking of you.;
en by;Oslo er en stor by.;city;Oslo is a large city.;
synes;Jeg synes dette er bra.;think;I think this is good.;
en film;Vi ser en god film.;movie;We are watching a good movie.;
blant;Han står blant barna.;among;He stands among the children.;
en uke;En uke har syv dager.;week;A week has seven days.;
en kommentar;Han skriver en kort kommentar.;comment;He writes a short comment.;
fordi;Jeg spiser fordi jeg er sulten.;because;I eat because I am hungry.;
en måte;Det er en god måte.;way;It is a good way.;
et sted;Dette er et fint sted.;place;This is a nice place.;
ønske;Jeg ønsker deg en god dag.;to wish;I wish you a good day.;
lage;Han lager god mat nå.;to make;He is making good food now.;
derfor;Jeg er syk, derfor sover jeg.;therefore;I am sick, therefore I sleep.;
en verden;Verden er stor og vakker.;world;The world is big and beautiful.;
en mann;Han er en snill mann.;man;He is a kind man.;
en kamp;De spiller en viktig kamp.;match;They are playing an important match.;
klar;Er du klar til å dra?;ready;Are you ready to go?;
en krone;Det koster bare en krone.;crown;It costs only one crown.;
mens;Han synger mens han jobber.;while;He sings while he works.;
et liv;Hun lever et godt liv.;life;She lives a good life.;
skje;Hva skjer i byen i dag?;to happen;What is happening in the city today?;
høre;Kan du høre hva jeg sier?;to hear;Can you hear what I am saying?;
kjenne;Jeg kjenner ham veldig godt.;to know;I know him very well.;
mulig;Alt er mulig i dag.;possible;Everything is possible today.;
et problem;Det er ikke et problem.;problem;It is not a problem.;
en grunn;Det er en god grunn.;reason;There is a good reason.;
et menneske;Han er et godt menneske.;human;He is a good human.;
øke;Butikken øker prisen nå.;to increase;The shop is increasing the price now.;
tilbake;Han kommer tilbake i morgen.;back;He is coming back tomorrow.;
velge;Jeg velger en blå skjorte.;to choose;I choose a blue shirt.;
hans;Bilen hans er rød.;his;His car is red.;
heller;Jeg vil heller dra hjem.;rather;I would rather go home.;
begynne;Møtet begynner nå.;to start;The meeting starts now.;
et tips;Jeg har et godt tips.;a tip;I have a good tip.;
en ting;Jeg ser en merkelig ting.;a thing;I see a strange thing.;
hos;Jeg bor hos min venn.;at;I live at my friend's place.;
vid;Denne jakken er for vid.;wide;This jacket is too wide.;
et spørsmål;Han har et kort spørsmål.;a question;He has a short question.;
kjøpe;Jeg kjøper mat hver mandag.;to buy;I buy food every Monday.;
rett;Dette er ikke rett svar.;correct;This is not the correct answer.;
aldri;Han kommer aldri for sent.;never;He never arrives late.;
gjelde;Regelen gjelder for deg.;to apply;The rule applies to you.;
like;Jeg liker denne kaken.;to like;I like this cake.;
en vei;Dette er en smal vei.;a road;This is a narrow road.;
tre;Jeg spiser tre epler.;three;I eat three apples.;
en mandag;Jeg jobber på mandag.;Monday;I work on Monday.;
en tirsdag;Han spiser fisk på tirsdag.;Tuesday;He eats fish on Tuesday.;
en onsdag;Vi går på kino på onsdag.;Wednesday;We go to the cinema on Wednesday.;
en torsdag;Det er kaldt på torsdag.;Thursday;It is cold on Thursday.;
en fredag;Jeg liker fredag veldig godt.;Friday;I like Friday very much.;
en lørdag;Hun kjøper godteri på lørdag.;Saturday;She buys candy on Saturday.;
en søndag;Butikken er stengt på søndag.;Sunday;The shop is closed on Sunday.;
en skole;Hun jobber på en skole.;a school;She works at a school.;
et medlem;Han er et aktivt medlem.;a member;He is an active member.;
et mål;Vi når vårt mål.;a goal;We reach our goal.;
ei bok;Jeg leser ei ny bok.;a book;I am reading a new book.;
ei kvinne;Hun er ei sterk kvinne.;a woman;She is a strong woman.;
trenge;Jeg trenger mer vann.;to need;I need more water.;
spesiell;Hun har en spesiell gave.;special;She has a special gift.;
et arbeid;Dette er et tungt arbeid.;work;This is heavy work.;
et tillegg;Du får et lite tillegg.;an addition;You get a small addition.;
klare;Jeg klarer denne oppgaven;to manage;I manage this task;
en plass;Det er en ledig plass her;a place;There is a free seat here;
en prosent;Prisen øker med ti prosent;a percent;The price increases by ten percent;
dersom;Ring meg dersom du trenger hjelp;if;Call me if you need help;
fin;Det er en fin dag i dag;nice;It is a nice day today;
ofte;Jeg spiser ofte epler til lunsj;often;I often eat apples for lunch;
hvilken;Hvilken bok liker du best?;which;Which book do you like best?;
fortelle;Han forteller en morsom historie;to tell;He tells a funny story;
en kommune;Oslo er en stor kommune;a municipality;Oslo is a large municipality;
en million;Han vinner en million kroner;a million;He wins a million kroner;
sterk;Kaffen er veldig sterk;strong;The coffee is very strong;
hm;Hm, det er et godt spørsmål;hm;Hm, that is a good question;
en mulighet;Dette er en god mulighet;an opportunity;This is a good opportunity;
en venn;Jeg har en god venn;a friend;I have a good friend;
svær;Huset er en svær bygning;huge;The house is a huge building;
nær;Skolen ligger nær butikken;near;The school is near the shop;
dårlig;Maten smaker veldig dårlig;bad;The food tastes very bad;
først;Du må spise først;first;You must eat first;
en bruk;Bilen er klar til bruk;a use;The car is ready for use;
en pris;Hva er en god pris?;a price;What is a good price?;
en person;Hun er en snill person;a person;She is a kind person;
et eksempel;Kan du gi et eksempel?;an example;Can you give an example?;
kun;Jeg har kun fem kroner;only;I only have five kroner;
faktisk;Det er faktisk helt sant;actually;It is actually quite true;
stille;Det er veldig stille her;quiet;It is very quiet here;
full;Koppen er helt full.;full;The cup is completely full.;
starte;Vi starter på skolen nå.;start;We start at school now.;
neste;Vi tar den neste bussen.;next;We take the next bus.;
et område;Dette er et rolig område.;an area;This is a quiet area.;
en penge;Han har en penge i lomma.;a coin;He has a coin in his pocket.;
lett;Oppgaven er veldig lett.;easy;The task is very easy.;
en time;Vi venter i en time.;an hour;We wait for an hour.;
ulik;Vi har ulik smak.;different;We have different taste.;
hvorfor;Hvorfor ler du så mye?;why;Why are you laughing so much?;
lissom;Det var lissom litt rart.;sort of;It was sort of a bit strange.;
en jobb;Jeg har en god jobb.;a job;I have a good job.;
alltid;Hun er alltid glad.;always;She is always happy.;
en topp;Vi står på en topp.;a top;We stand on a top.;
deres;Huset deres er veldig stort.;their;Their house is very big.;
prøve;Jeg prøver å lære norsk.;try;I am trying to learn Norwegian.;
sikker;Er du helt sikker på det?;sure;Are you completely sure about that?;
et selskap;Han jobber i et stort selskap.;a company;He works in a large company.;
samtidig;Vi snakker samtidig.;at the same time;We speak at the same time.;
vanskelig;Det er en vanskelig bok.;difficult;It is a difficult book.;
jobbe;Jeg jobber hver dag.;work;I work every day.;
sitte;Han sitter på en stol.;sit;He sits on a chair.;
snakke;De snakker sammen nå.;speak;They are speaking together now.;
slå;Han slår ballen.;hit;He hits the ball.;
lenge;Har du ventet lenge?;long;Have you waited long?;
be;Jeg ber om hjelp.;ask;I ask for help.;
cirka;Det er cirka fem kilometer.;about;It is about five kilometers.;
nesten;Jeg er nesten ferdig nå.;almost;I am almost finished now.;
føre;Veien fører til byen.;lead;The road leads to the city.;
egentlig;Hva mener du egentlig?;actually;What do you actually mean?;
bygge;Han bygger et nytt hus.;build;He builds a new house.;
følge;Jeg følger deg hjem.;follow;I follow you home.;
kort;Filmen er veldig kort.;short;The movie is very short.;
en bil;Han kjører en rød bil.;car;He drives a red car.;
allerede;Bussen kommer allerede nå.;already;The bus is coming already now.;
ganske;Det er ganske varmt ute.;quite;It is quite warm outside.;
vinne;De vinner kampen i dag.;win;They win the match today.;
et resultat;Vi venter på et resultat.;result;We wait for a result.;
sen;Bussen er ofte sen.;late;The bus is often late.;
fortsatt;Jeg bor fortsatt i Oslo.;still;I still live in Oslo.;
vanlig;Det er en vanlig dag.;usual;It is a usual day.;
et møte;Vi har et møte nå.;meeting;We have a meeting now.;
gjerne;Jeg vil gjerne ha kaffe.;gladly;I would gladly have coffee.;
altså;Jeg er trøtt, altså sover jeg.;therefore;I am tired, therefore I sleep.;
håpe;Jeg håper du har det bra.;hope;I hope you are doing well.;
et tall;Ti er et tall.;number;Ten is a number.;
hei;Hei, hvordan går det?;hi;Hi, how is it going?;
et navn;Mitt navn er Ola.;name;My name is Ola.;
føle;Jeg føler meg glad i dag.;feel;I feel happy today.;
en måned;Mai er en fin måned.;month;May is a nice month.;
ja;Ja, det er bra.;yes;Yes, it is good.;
en artikkel;Jeg leser en ny artikkel.;an article;I am reading a new article.;
selge;Han selger sin gamle bil.;to sell;He sells his old car.;
en student;Hun er en flink student.;a student;She is a good student.;
oi;Oi, se på den hunden!;oh;Oh, look at that dog!;
en slutt;Filmen har en lykkelig slutt.;an end;The movie has a happy ending.;
en informasjon;Jeg trenger litt mer informasjon.;information;I need a little more information.;
likevel;Det regner, men jeg går likevel.;anyway;It is raining, but I go anyway.;
forskjellig;Vi liker helt forskjellig mat.;different;We like completely different food.;
et lag;De spiller på mitt lag.;a team;They play on my team.;
en is;Barnet spiser en kald is.;ice cream;The child eats a cold ice cream.;
sånn;Hvorfor gjør du det sånn?;like that;Why do you do it like that?;
virke;Dette virker som en god idé.;to seem;This seems like a good idea.;
hvem;Hvem er den mannen der borte?;who;Who is that man over there?;
la;Jeg lar ham sove nå.;to let;I let him sleep now.;
en hund;Vi har en stor hund.;a dog;We have a big dog.;
ute;Barna leker ute i hagen.;outside;The children play outside in the garden.;
ung;Han er en ung mann.;young;He is a young man.;
en tur;Vi går en tur i skogen.;a walk;We go for a walk in the forest.;
skape;Han skaper et nytt maleri.;to create;He creates a new painting.;
dermed;Han vinner og er dermed glad.;thus;He wins and is thus happy.;
et prosjekt;Dette er et stort prosjekt.;a project;This is a big project.;
en kveld;Det er en fin kveld.;an evening;It is a nice evening.;
et løp;Han vinner et spennende løp.;a race;He wins an exciting race.;
kalle;De kaller ham for Per.;to call;They call him Per.;
en lov;Det er en ny lov.;a law;It is a new law.;
et forum;Vi skriver på et forum;a forum;We write on a forum;
enda;Jeg er enda mer sulten nå;even;I am even more hungry now;
en historie;Han forteller en spennende historie;a story;He tells an exciting story;
vente;Jeg venter på bussen hver dag;to wait;I wait for the bus every day;
bety;Hva betyr dette ordet?;to mean;What does this word mean?;
kreve;Jobben krever mye tid;to require;The job requires much time;
fortsette;Vi fortsetter å lese boka;to continue;We continue to read the book;
akkurat;Jeg kommer akkurat nå;just;I am coming right now;
bak;Katten sitter bak sofaen;behind;The cat sits behind the sofa;
kjøre;Han kjører en rød bil;to drive;He drives a red car;
en utvikling;Barnet har en god utvikling;a development;The child has a good development;
ei jente;Ei jente leker i hagen;a girl;A girl plays in the garden;
en feil;Det er en liten feil her;a mistake;There is a small mistake here;
oktober;Det regner ofte i oktober;October;It rains often in October;
fire;Jeg har fire epler;four;I have four apples;
eneste;Du er min eneste venn;only;You are my only friend;
et krav;De har et strengt krav;a requirement;They have a strict requirement;
politisk;De diskuterer et politisk tema;political;They discuss a political topic;
et ord;Jeg lærer et nytt ord;a word;I learn a new word;
mai;Vi feirer i mai;May;We celebrate in May;
betale;Jeg betaler for maten nå;to pay;I pay for the food now;
en grad;Det er én grad ute;a degree;It is one degree outside;
begge;Begge barna sover nå;both;Both children sleep now;
endre;Han endrer planen sin;to change;He changes his plan;
poste;Hun poster et bilde på nettet;to post;She posts a picture online;
et friminutt;Barna har et friminutt nå.;a break;The children have a break now.;
innen;Vi må dra innen klokken fem.;by;We must leave by five o'clock.;
nei;Han svarer nei til spørsmålet.;no;He answers no to the question.;
hjelpe;Jeg hjelper deg med leksene.;to help;I help you with the homework.;
lav;Sengen er veldig lav.;low;The bed is very low.;
dra;Jeg drar til byen nå.;to go;I am going to the city now.;
drive;Hun driver med sport hver dag.;to do;She does sports every day.;
spørre;Jeg spør læreren om hjelp.;to ask;I ask the teacher for help.;
en gruppe;Vi jobber i en liten gruppe.;a group;We work in a small group.;
leve;Vi lever et godt liv her.;to live;We live a good life here.;
en hjelp;Det er en stor hjelp.;a help;It is a great help.;
meget;Maten smaker meget godt.;very;The food tastes very good.;
en form;Han er i god form.;a shape;He is in good shape.;
offentlig;Dette er et offentlig sted.;public;This is a public place.;
et forslag;Jeg har et godt forslag.;a proposal;I have a good proposal.;
enkelt;Det er et enkelt spørsmål.;simple;It is a simple question.;
særlig;Det er ikke særlig kaldt ute.;especially;It is not especially cold outside.;
virkelig;Det er virkelig en fin dag.;really;It is really a fine day.;
samt;Han kjøper brød samt melk.;as well as;He buys bread as well as milk.;
imidlertid;Han kommer imidlertid ikke hit.;however;He is however not coming here.;
lure;Jeg lurer på hva han gjør.;to wonder;I wonder what he is doing.;
et spill;Dette er et morsomt spill.;a game;This is a fun game.;
et valg;Du må ta et valg nå.;a choice;You must make a choice now.;
uansett;Jeg kommer uansett hva som skjer.;regardless;I am coming regardless of what happens.;
forstå;Jeg forstår hva du sier.;to understand;I understand what you say.;
lære;Jeg lærer norsk nå.;to learn;I am learning Norwegian now.;
september;Det er september nå.;September;It is September now.;
bo;Jeg bor i Oslo.;to live;I live in Oslo.;
åpne;Han åpner døren nå.;to open;He is opening the door now.;
registrere;Hun registrerer en ny bruker.;to register;She registers a new user.;
et fall;Han skader seg i et fall.;a fall;He hurts himself in a fall.;
et par;Jeg har et par sko.;a pair;I have a pair of shoes.;
vond;Jeg har en vond fot.;sore;I have a sore foot.;
internasjonal;Skolen er veldig internasjonal.;international;The school is very international.;
et tema;Vi snakker om et viktig tema.;a topic;We are talking about an important topic.;
riktig;Svaret ditt er riktig.;correct;Your answer is correct.;
publisere;Han publiserer en ny bok.;to publish;He publishes a new book.;
et dyr;En hund er et snilt dyr.;an animal;A dog is a kind animal.;
en type;Dette er en ny type bil.;a type;This is a new type of car.;
en regel;Vi må følge en viktig regel.;a rule;We must follow an important rule.;
en regjering;Landet har en ny regjering.;a government;The country has a new government.;
et program;Vi ser på et bra program.;a program;We are watching a good program.;
en situasjon;Dette er en vanskelig situasjon.;a situation;This is a difficult situation.;
utvikle;De utvikler et nytt produkt.;to develop;They are developing a new product.;
vann;Jeg drikker et glass vann.;water;I am drinking a glass of water.;
en familie;Jeg elsker min familie.;a family;I love my family.;
en gutt;Der løper en liten gutt.;a boy;There runs a little boy.;
enig;Jeg er helt enig med deg.;agree;I completely agree with you.;
musikk;Jeg hører på fin musikk.;music;I listen to nice music.;
en kontakt;Jeg har en kontakt i Oslo.;a contact;I have a contact in Oslo.;
et samfunn;Vi lever i et godt samfunn.;a society;We live in a good society.;
et hjem;Jeg har et koselig hjem.;a home;I have a cozy home.;
bidra;Han bidrar mye til gruppen.;contribute;He contributes a lot to the group.;
vurdere;Vi vurderer situasjonen nøye.;consider;We are considering the situation carefully.;
et behov;Barnet har et stort behov.;a need;The child has a great need.;
huske;Jeg husker navnet ditt.;remember;I remember your name.;
trekke;Han trekker en stol til bordet.;pull;He pulls a chair to the table.;
oppleve;Vi opplever mye spennende her.;experience;We experience many exciting things here.;
en plan;Jeg har en god plan.;a plan;I have a good plan.;
nevne;Han nevner saken i morgen.;mention;He mentions the case tomorrow.;
ansette;Firmaet ansetter en ny person.;hire;The company hires a new person.;
et foto;Hun tar et vakkert foto.;a photo;She takes a beautiful photo.;
lede;Han leder møtet i dag.;lead;He leads the meeting today.;
rekke;Jeg rekker bussen i tide.;catch;I catch the bus on time.;
en mat;Hun lager mye god mat.;food;She makes a lot of good food.;
rask;Bilen er veldig rask.;fast;The car is very fast.;
en elev;Han er en flink elev.;a student;He is a clever student.;
snar;Vær snar med å svare.;quick;Be quick to answer.;
rette;Læreren retter alle prøvene.;correct;The teacher corrects all the tests.;
en stat;Norge er en liten stat.;a state;Norway is a small state.;
slippe;Han slipper ballen på gulvet.;let go;He lets the ball go on the floor.;
samle;Vi samler på gamle mynter.;collect;We collect old coins.;
ellers;Løp nå, ellers kommer du sent.;otherwise;Run now, otherwise you will be late.;
fungere;Min nye telefon fungerer bra.;work;My new phone works well.;
fri;Jeg har fri hver lørdag.;free;I am free every Saturday.;
bestemme;Jeg bestemmer hva vi spiser.;decide;I decide what we eat.;
et poeng;Han får et poeng i spillet.;a point;He gets a point in the game.;
en takk;Jeg skylder deg en stor takk.;a thank you;I owe you a big thank you.;
melde;Hun melder seg på kurset.;report;She signs up for the course.;
en erfaring;Han har mye god erfaring.;an experience;He has a lot of good experience.;
et samarbeid;Vi har et godt samarbeid.;a cooperation;We have a good cooperation.;
inne;Barna leker inne i dag.;inside;The children are playing inside today.;
grei;Han er en grei mann.;nice;He is a nice man.;
spise;Vi spiser middag nå.;eat;We eat dinner now.;
høres;Det høres veldig bra ut.;sounds;It sounds very good.;
flott;Det er et flott bilde.;great;It is a great picture.;
hennes;Dette er hennes bok.;her;This is her book.;
søke;Jeg søker på en ny jobb.;apply;I am applying for a new job.;
positiv;Hun er en positiv jente.;positive;She is a positive girl.;
en august;Vi reiser i august.;August;We travel in August.;
et minutt;Vent et minutt på meg.;a minute;Wait a minute for me.;
bort;Han går bort fra huset.;away;He walks away from the house.;
passe;Denne buksa passer ikke.;fit;These pants do not fit.;
fast;Hun har en fast stilling.;fixed;She has a permanent position.;
en leder;Han er en god leder.;a leader;He is a good leader.;
et ansvar;Jeg har et stort ansvar.;a responsibility;I have a big responsibility.;
økonomisk;De trenger økonomisk hjelp.;economic;They need economic help.;
en tv;Vi ser på tv nå.;a TV;We watch TV now.;
en nyhet;Jeg har en god nyhet.;news;I have good news.;
falle;Bladene faller fra trærne.;fall;The leaves fall from the trees.;
en mening;Hva er din mening?;opinion;What is your opinion?;
et tilfelle;Det er et sjeldent tilfelle.;case;It is a rare case.;
november;Det snør ofte i november.;November;It often snows in November.;
handle;Jeg handler mat hver dag.;shop;I shop for food every day.;
hete;Jeg heter Anna.;be named;My name is Anna.;
sikre;Vi sikrer huset for vinteren.;secure;We secure the house for the winter.;
et antall;Et stort antall mennesker kommer.;number;A large number of people are coming.;
utenfor;Barna leker utenfor.;outside;The children are playing outside.;
fem;Jeg har fem epler.;five;I have five apples.;
utrolig;Dette er en utrolig dag.;incredible;This is an incredible day.;
ifølge;Ifølge ham er det sant.;according to;According to him, it is true.;
en løsning;Vi finner en god løsning.;solution;We find a good solution.;
regne;Det regner ute nå.;rain;It is raining outside now.;
nødvendig;Det er nødvendig å sove.;necessary;It is necessary to sleep.;
en periode;Dette er en god periode.;period;This is a good period.;
juni;Solen skinner ofte i juni.;June;The sun often shines in June.;
ei bu;Han har ei lita bu.;shack;He has a small shack.;
lokal;Jeg leser en lokal avis.;local;I read a local newspaper.;
en tekst;Les denne teksten nøye.;text;Read this text carefully.;
en behandling;Han får medisinsk behandling.;treatment;He is receiving medical treatment.;
redusere;Vi reduserer bruken av plast.;reduce;We reduce the use of plastic.;
reise;Jeg reiser med tog.;travel;I travel by train.;
benytte;Vi benytter denne muligheten.;use;We use this opportunity.;
hæ;Hæ, hva sa du?;huh;Huh, what did you say?;
et marked;Vi besøker et stort marked.;market;We are visiting a large market.;
et parti;Vi stemmer på et parti;party;We vote for a party;
hverandre;De snakker med hverandre;each other;They talk to each other;
anbefale;Jeg vil anbefale denne boken;recommend;I want to recommend this book;
en klubb;Han er i en klubb;club;He is in a club;
en blogg;Hun skriver en blogg;blog;She writes a blog;
stadig;Det skjer stadig nye ting;constantly;New things happen constantly;
et tiltak;Vi må starte et tiltak;measure;We must start a measure;
en sesong;Det er en ny sesong;season;It is a new season;
trene;Jeg liker å trene ute;exercise;I like to exercise outside;
en spiller;Han er en god spiller;player;He is a good player;
en sommer;Vi har en fin sommer;summer;We have a nice summer;
et kamera;Hun tar bilde med et kamera;camera;She takes a picture with a camera;
en forelder;Han er en snill forelder;parent;He is a kind parent;
et hus;Vi bor i et hus;house;We live in a house;
delta;Jeg vil delta på kurset;participate;I want to participate in the course;
en oppgave;Dette er en vanskelig oppgave;task;This is a difficult task;
amerikansk;Han spiser amerikansk mat;American;He eats American food;
en kropp;Vann er bra for din kropp;body;Water is good for your body;
hjemme;Jeg slapper av hjemme;at home;I relax at home;
generell;Dette er en generell regel;general;This is a general rule;
en rapport;Jeg skriver en rapport;report;I am writing a report;
en debatt;Det er en viktig debatt;debate;It is an important debate;
husk;Husk å kjøpe brød;remember;Remember to buy bread;
hard;Jobben er veldig hard;hard;The job is very hard;
svare;Kan du svare på spørsmålet;answer;Can you answer the question;
en høst;Det er en kald høst.;autumn;It is a cold autumn.;
